"ReporterISO3","ReporterName","Year","Exports (% of GDP)","Exports G&S (Current USD)","Imports (% of GDP)","Imports G&S (Current USD)","Trade Balance (% of GDP)","Trade Balance G&S (Current USD)"
"PHL","Philippines",2013,26.1774,74318438400,29.6474,84169695232,-3.4699,-9851256832
"PHL","Philippines",2014,27.3545,81375150080,30.1137,89583206400,-2.7592,-8208056320
"PHL","Philippines",2015,27.2081,83377971200,31.9335,97859002368,-4.7255,-14481031168
"PHL","Philippines",2016,26.673,84987387904,35.1031,111847833600,-8.4301,-26860445696
"PHL","Philippines",2017,29.5523,97073586176,38.6161,126846377984,-9.0638,-29772791808
"PHL","Philippines",2018,30.2136,104793440256,41.9498,145499455488,-11.7362,-40706015232
"PHL","Philippines",2019,28.3829,106953482240,40.4589,152458690560,-12.076,-45505208320
"PHL","Philippines",2020,25.2028,91171561472,32.9667,119257489408,-7.7639,-28085927936
"PHL","Philippines",2021,25.752,101485510656,37.7326,148699316224,-11.9805,-47213805568
"PHL","Philippines",2022,28.3851,114756534272,44.0316,178012782592,-15.6465,-63256248320
"SGP","Singapore",1988,184.7141,46864670720,175.153,44438888448,9.5611,2425782272
"SGP","Singapore",1989,179.2957,54623088640,168.277,51266199552,11.0187,3356889088
"SGP","Singapore",1990,177.1926,64045068288,167.1397,60411527168,10.0529,3633541120
"SGP","Singapore",1991,168.5462,76631490560,155.3418,70627958784,13.2044,6003531776
"SGP","Singapore",1992,161.726,84309893120,149.5863,77981335552,12.1396,6328557568
"SGP","Singapore",1993,161.6505,97966391296,151.7656,91975770112,9.8849,5990621184
"SGP","Singapore",1994,166.1934,122465755136,150.0232,110550163456,16.1702,11915591680
"SGP","Singapore",1995,181.1209,159046893568,164.3383,144309649408,16.7826,14737244160
"SGP","Singapore",1996,175.6431,169132195840,159.2681,153364135936,16.3751,15768059904
"SGP","Singapore",1997,169.2969,169506471936,154.5675,154758889472,14.7294,14747582464
"SGP","Singapore",1998,166.7876,142984019968,145.2917,124555984896,21.4959,18428035072
"SGP","Singapore",1999,176.745,152507727872,159.7398,137834496000,17.0052,14673231872
"SGP","Singapore",2000,188.3509,180960985088,176.0136,169107767296,12.3373,11853217792
"SGP","Singapore",2001,182.8942,164227661824,166.3979,149415051264,16.4963,14812610560
"SGP","Singapore",2002,184.0861,170350264320,165.6599,153298944000,18.4262,17051320320
"SGP","Singapore",2003,202.5862,197818105856,174.6324,170522181632,27.9539,27295924224
"SGP","Singapore",2004,213.9517,246116270080,187.572,215770791936,26.3797,30345478144
"SGP","Singapore",2005,225.1597,287771656192,195.2708,249571393536,29.8888,38200262656
"SGP","Singapore",2006,228.0376,338926043136,197.3258,293279891456,30.7118,45646151680
"SGP","Singapore",2007,212.7794,385006731264,181.5091,328425701376,31.2703,56581029888
"SGP","Singapore",2008,228.9938,443371651072,208.3329,403368706048,20.6608,40002945024
"SGP","Singapore",2009,190.8449,370526060544,167.3479,324906450944,23.4971,45619609600
"SGP","Singapore",2010,197.999,474817200128,171.6866,411718057984,26.3124,63099142144
"SGP","Singapore",2011,203.3277,568009228288,175.7709,491027529728,27.5568,76981698560
"SGP","Singapore",2012,196.7196,580505501696,172.4933,509015523328,24.2263,71489978368
"SGP","Singapore",2013,195.0778,600013209600,171.964,528920576000,23.1138,71092633600
"SGP","Singapore",2014,191.9535,604391800832,168.5138,530588532736,23.4398,73803268096
"SGP","Singapore",2015,178.3846,549422006272,151.0868,465345118208,27.2978,84076888064
"SGP","Singapore",2016,164.672,525353058304,138.4645,441743278080,26.2075,83609780224
"SGP","Singapore",2017,171.5646,588934807552,144.9129,497446846464,26.6517,91487961088
"SGP","Singapore",2018,177.3504,668379840512,147.8469,557190086656,29.5035,111189753856
"SGP","Singapore",2019,175.5944,661705654272,146.1091,550593691648,29.4854,111111962624
"SGP","Singapore",2020,181.9886,634034061312,150.7852,525323927552,31.2034,108710133760
"SGP","Singapore",2021,184.3024,781068140544,149.0372,631615127552,35.2652,149453012992
"SGP","Singapore",2022,186.5526,870805995520,150.3099,701629464576,36.2426,169176530944
"THA","Thailand",1988,33.012,20357574656,34.4015,21214461952,-1.3895,-856887296
"THA","Thailand",1989,34.9215,25231065088,37.4854,27083485184,-2.5639,-1852420096
"THA","Thailand",1990,34.1319,29129275392,41.6504,35545808896,-7.5185,-6416533504
"THA","Thailand",1991,35.9643,35329437696,42.5068,41756459008,-6.5425,-6427021312
"THA","Thailand",1992,36.9725,41206841344,40.9822,45675753472,-4.0097,-4468912128
"THA","Thailand",1993,36.8173,47453532160,40.9288,52752863232,-4.1115,-5299331072
"THA","Thailand",1994,38.2421,56094978048,43.0068,63084056576,-4.7647,-6989078528
"THA","Thailand",1995,41.5323,70305505280,48.2238,81632780288,-6.6915,-11327275008
"THA","Thailand",1996,39.0184,71417454592,45.2557,82833932288,-6.2373,-11416477696
"THA","Thailand",1997,48.2371,72442634240,46.8147,70306578432,1.4223,2136055808
"THA","Thailand",1998,57.9373,65860575232,42.3032,48088379392,15.6341,17772195840
"THA","Thailand",1999,56.4385,71490256896,44.2677,56073605120,12.1708,15416651776
"THA","Thailand",2000,64.8402,81953038336,56.4577,71358144512,8.3825,10594893824
"THA","Thailand",2001,63.2507,76088352768,57.0173,68589772800,6.2334,7498579968
"THA","Thailand",2002,60.6458,81447796736,54.324,72957607936,6.3218,8490188800
"THA","Thailand",2003,61.5226,93686923264,55.1703,84013621248,6.3523,9673302016
"THA","Thailand",2004,65.9719,114062491648,61.44,106227138560,4.5318,7835353088
"THA","Thailand",2005,68.4027,129498931200,69.4511,131483811840,-1.0484,-1984880640
"THA","Thailand",2006,68.6753,152293261312,65.4116,145055662080,3.2637,7237599232
"THA","Thailand",2007,68.8723,181094563840,61.001,160397508608,7.8713,20697055232
"THA","Thailand",2008,71.4164,208095297536,69.0206,201114271744,2.3958,6981025792
"THA","Thailand",2009,64.4386,181530427392,54.8308,154464206848,9.6078,27066220544
"THA","Thailand",2010,66.4862,226787508224,60.7644,207270084608,5.7218,19517423616
"THA","Thailand",2011,70.8549,262743277568,68.8205,255199297536,2.0344,7543980032
"THA","Thailand",2012,68.9512,274121375744,68.7237,273216798720,0.2275,904577024
"THA","Thailand",2013,67.1711,282342916096,65.2911,274440601600,1.88,7902314496
"THA","Thailand",2014,68.3941,278596026368,62.5114,254633164800,5.8828,23962861568
"THA","Thailand",2015,67.6367,271423504384,57.203,229553373184,10.4337,41870131200
"THA","Thailand",2016,67.0709,277248475136,53.5043,221168943104,13.5665,56079532032
"THA","Thailand",2017,66.6728,304266018816,54.2186,247430250496,12.4542,56835768320
"THA","Thailand",2018,64.8381,328569782272,56.0038,283801452544,8.8343,44768329728
"THA","Thailand",2019,59.5189,323768909824,50.1706,272916496384,9.3483,50852413440
"THA","Thailand",2020,51.4949,257709981696,46.3048,231735689216,5.1901,25974292480
"THA","Thailand",2021,58.638,296454946816,58.6054,296290385920,0.0326,164560896
"THA","Thailand",2022,65.785,325859934208,68.1284,337467670528,-2.3434,-11607736320
"VNM","Vietnam",1988,3.9453,1003045248,15.0052,3814891008,-11.0599,-2811845632
"VNM","Vietnam",1989,23.8494,1500912768,34.0551,2143191552,-10.2057,-642278784
"VNM","Vietnam",1990,36.0386,2332325632,45.2771,2930215424,-9.2385,-597889792
"VNM","Vietnam",1991,30.915,2971976960,36.0319,3463880960,-5.1169,-491904000
"VNM","Vietnam",1992,34.7456,3428344576,38.8313,3831479552,-4.0857,-403134976
"VNM","Vietnam",1993,28.7228,3785936640,37.4895,4941471744,-8.7667,-1155535104
"VNM","Vietnam",1994,34.0131,5539525632,43.4601,7078095360,-9.4469,-1538569728
"VNM","Vietnam",1995,32.8129,6804127744,41.9084,8690196480,-9.0956,-1886068736
"VNM","Vietnam",1996,40.8685,10077134848,51.8373,12781757440,-10.9688,-2704622592
"VNM","Vietnam",1997,43.1027,11570361344,51.2418,13755189248,-8.1391,-2184827904
"VNM","Vietnam",1998,44.8483,12203044864,52.1529,14190608384,-7.3046,-1987563520
"VNM","Vietnam",1999,49.9662,14332147712,52.8212,15151041536,-2.8549,-818893824
"VNM","Vietnam",2000,53.9215,16808688640,57.4956,17922826240,-3.5741,-1114137600
"VNM","Vietnam",2001,55.0619,17997103104,56.894,18595917824,-1.8321,-598814720
"VNM","Vietnam",2002,54.7391,19193788416,61.9577,21724925952,-7.2186,-2531137536
"VNM","Vietnam",2003,56.6733,22415697920,67.6547,26759133184,-10.9814,-4343435264
"VNM","Vietnam",2004,59.731,27134531584,73.2855,33292011520,-13.5544,-6157479936
"VNM","Vietnam",2005,63.6995,36712091648,67.0154,38623129600,-3.3159,-1911037952
"VNM","Vietnam",2006,67.7168,44944777216,70.5968,46856278016,-2.88,-1911500800
"VNM","Vietnam",2007,70.5179,54591008768,84.0875,65095864320,-13.5696,-10504855552
"VNM","Vietnam",2008,70.3367,69724979200,83.9808,83250413568,-13.6441,-13525434368
"VNM","Vietnam",2009,62.6089,66374594560,72.0974,76433850368,-9.4886,-10059255808
"VNM","Vietnam",2010,54.1758,79747481600,59.8018,88029011968,-5.626,-8281530368
"VNM","Vietnam",2011,61.1802,105593921536,64.0804,110599634944,-2.9003,-5005713408
"VNM","Vietnam",2012,63.4739,124149071872,59.7502,116865794048,3.7237,7283277824
"VNM","Vietnam",2013,66.8004,142758445056,64.0459,136871747584,2.7545,5886697472
"VNM","Vietnam",2014,69.5986,162478899200,65.8119,153638961152,3.7866,8839938048
"VNM","Vietnam",2015,72.9229,174474002432,71.9914,172245368832,0.9315,2228633600
"VNM","Vietnam",2016,74.1073,190526865408,71.3022,183315152896,2.8051,7211712512
"VNM","Vietnam",2017,81.7625,230041796608,79.2176,222881464320,2.545,7160332288
"VNM","Vietnam",2018,84.4235,261802606592,80.2405,248830935040,4.183,12971671552
"VNM","Vietnam",2019,85.1576,284737404928,79.5466,265976299520,5.611,18761105408
"VNM","Vietnam",2020,84.3816,292479893504,78.8643,273355948032,5.5173,19123945472
"VNM","Vietnam",2021,93.2916,341575794688,93.1765,341154299904,0.1151,421494784
