"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
"St. Kitts and Nevis","361","Financial Institutions Access Index","FD_FIA_IX","Value","0.78289669752121","0.765139997005463","0.764271199703217","0.78745436668396","0.720099329948425","0.619399070739746","0.582547247409821","0.594769537448883","0.697582483291626","0.682294309139252","0.674040257930756","0.681802868843079","0.733906984329224","0.768380999565125","0.749562978744507","0.764100193977356","0.76049280166626","0.68638414144516","0.696199417114258","0.762312412261963","0.715580403804779","0.740189671516418","0.730617821216583","0.752648770809174","0.784286439418793","0.799814999103546","0.796768307685852","0.711355328559875","0.727783799171448","0.752907812595367","0.750781774520874","0.751574516296387","0.777367770671844","0.848962485790253","0.777798712253571","0.779870271682739","0.742139935493469","0.691075444221497","0.694148659706116","0.7138711810112","0.725571572780609","0.649595439434052",
"St. Kitts and Nevis","361","Financial Markets Depth Index","FD_FMD_IX","Value","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"St. Kitts and Nevis","361","Financial Markets Access Index","FD_FMA_IX","Value","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"St. Kitts and Nevis","361","Financial Markets Efficiency Index","FD_FME_IX","Value","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"St. Lucia","362","Financial Development Index","FD_FD_IX","Value","0.264280587434769","0.262273997068405","0.273056864738464","0.290894061326981","0.271176159381867","0.255968064069748","0.237455666065216","0.259169608354568","0.290738016366959","0.312704384326935","0.297810584306717","0.301144629716873","0.28751927614212","0.318173229694367","0.330256074666977","0.316560208797455","0.325559884309769","0.34576228260994","0.366685509681702","0.349650681018829","0.357625424861908","0.346185296773911","0.341518849134445","0.323846429586411","0.341175973415375","0.342845052480698","0.346416264772415","0.35540434718132","0.355490952730179","0.339389741420746","0.343761295080185","0.341416120529175","0.337214380502701","0.33178585767746","0.327363908290863","0.310559839010239","0.286704391241074","0.307117223739624","0.310048431158066","0.34239861369133","0.33871528506279","0.335272580385208",
"St. Lucia","362","Financial Institutions Index","FD_FI_IX","Value","0.377606838941574","0.374913632869721","0.390531033277512","0.412467449903488","0.385923564434052","0.365533083677292","0.340309262275696","0.368466734886169","0.409150749444961","0.438260078430176","0.418757557868958","0.423164367675781","0.405950576066971","0.446521043777466","0.465445041656494","0.44531437754631","0.458665519952774","0.495280593633652","0.532737970352173","0.501974999904633","0.517322599887848","0.494166076183319","0.485601037740707","0.453267216682434","0.485498428344727","0.488469779491425","0.496106177568436","0.512828886508942","0.511645197868347","0.481047302484512","0.489024937152862","0.484232723712921","0.476490616798401","0.466821402311325","0.459430158138275","0.427245527505875","0.380470305681229","0.420495390892029","0.426242828369141","0.48967432975769","0.482452124357224","0.475701808929443",
"St. Lucia","362","Financial Markets Index","FD_FM_IX","Value","0.14058880507946","0.139347523450851","0.144872918725014","0.157911345362663","0.14579276740551","0.136363536119461","0.125288665294647","0.139707416296005","0.160922080278397","0.174883902072906","0.16518297791481","0.167313531041145","0.157811030745506","0.177346080541611","0.182113930583","0.175390005111694","0.17968524992466","0.182682603597641","0.186251029372215","0.183612450957298","0.183901593089104","0.184626564383507","0.184041678905487","0.181723847985268","0.183472007513046","0.183773398399353","0.183139368891716","0.184040233492851","0.18539372086525","0.184420719742775","0.185014769434929","0.185208588838577","0.184712067246437","0.183737143874168","0.182457908987999","0.181693449616432","0.181693449616432","0.181693449616432","0.181693449616432","0.181693449616432","0.181693449616432","0.181693449616432",
"St. Lucia","362","Financial Institutions Depth Index","FD_FID_IX","Value","0.188389793038368","0.186726495623589","0.21085187792778","0.207260474562645","0.185885950922966","0.174138799309731","0.159508347511292","0.163408204913139","0.183431908488274","0.209486126899719","0.195887476205826","0.199498027563095","0.198042303323746","0.23114450275898","0.236621037125587","0.24347186088562","0.266528964042664","0.315276354551315","0.299200832843781","0.310318261384964","0.346586674451828","0.276503801345825","0.272639602422714","0.268276691436768","0.292552441358566","0.307897418737411","0.32989713549614","0.36389747262001","0.375341713428497","0.347994267940521","0.34096160531044","0.334889948368073","0.348423898220062","0.32185086607933","0.279243111610413","0.268238425254822","0.249165713787079","0.233646556735039","0.235175296664238","0.364082753658295","0.402966201305389","0.387784004211426",
"St. Lucia","362","Financial Institutions Access Index","FD_FIA_IX","Value","0.302937775850296","0.300263106822967","0.312169104814529","0.340264022350311","0.314151167869568","0.293833255767822","0.269969344139099","0.301038563251495","0.346751481294632","0.376836061477661","0.355932742357254","0.360523581504822","0.340047836303711","0.382141530513763","0.405819267034531","0.377926647663117","0.387181907892227","0.415638864040375","0.477258175611496","0.431695431470871","0.436688303947449","0.449206948280334","0.439107418060303","0.399083197116852","0.429270356893539","0.419451683759689","0.415886223316193","0.419229656457901","0.408510059118271","0.391963303089142","0.449212908744812","0.450593501329422","0.449878334999084","0.44382506608963","0.435190141201019","0.421822249889374","0.349706947803497","0.373036414384842","0.369388729333878","0.384821325540543","0.369147837162018","0.343282610177994",
"St. Lucia","362","Financial Institutions Efficiency Index","FD_FIE_IX","Value","0.61217337846756","0.609139800071716","0.609139800071716","0.651419162750244","0.629148900508881","0.604926526546478","0.573100984096527","0.621606409549713","0.667206227779388","0.685115158557892","0.668092727661133","0.671283602714539","0.642492234706879","0.672362506389618","0.695913195610046","0.654744863510132","0.652295112609863","0.664018630981445","0.730520308017731","0.671238481998444","0.661677837371826","0.668947637081146","0.659538686275482","0.610567808151245","0.642732620239258","0.644631862640381","0.643129825592041","0.644935607910156","0.639173269271851","0.596302211284637","0.546083390712738","0.53593111038208","0.486614584922791","0.503261208534241","0.558273911476135","0.478148818016052","0.450474321842194","0.586494565010071","0.611106216907501","0.613677740097046","0.549248695373535","0.589866995811462",
