ISO,Year,research_spending_gdp
TWN,2000,1.9099999999999999
TWN,2001,2.0299999999999998
TWN,2002,2.1099999999999999
TWN,2003,2.2200000000000002
TWN,2004,2.27
TWN,2005,2.3300000000000001
TWN,2006,2.4399999999999999
TWN,2007,2.48
TWN,2008,2.6699999999999999
TWN,2009,2.8399999999999999
TWN,2010,2.8199999999999998
TWN,2011,2.9100000000000001
TWN,2012,2.96
TWN,2013,3
TWN,2014,2.98
TWN,2015,3
TWN,2016,3.0899999999999999
TWN,2017,3.1899999999999999
TWN,2018,3.3399999999999999
TWN,2019,3.48
