Database???Annual
Year£º1952-
Year,Gross Domestic Product(100 million yuan),Value-added of Agriculture Forestry Animal Husbandry and Fishery industries(100 million yuan),Value-added of Industry(100 million yuan),Value-added of Construction(100 million yuan),Value-added of Wholesale and Retail Trades(100 million yuan),Value-added of Transport Storage and Post(100 million yuan),Value-added of Hotels and Catering Services(100 million yuan),Value-added of Financial Intermediation(100 million yuan),Value-added of Real Estate(100 million yuan),Value-added of Others(100 million yuan)
1965,1737.2,656.9,554.2,56.0,104.6,78.1,23.7,85.2,30.5,147.8
1964,1472.7,564.0,468.1,52.7,81.8,58.9,21.7,59.1,25.0,141.5
1963,1250.9,501.9,371.7,42.3,64.5,55.5,20.7,36.8,27.0,130.6
1962,1164.7,457.1,330.9,34.1,67.6,57.9,21.4,48.4,25.3,122.0
1961,1234.9,445.0,367.7,27.0,96.5,69.8,23.1,61.2,23.6,120.9
1960,1473.3,343.8,574.1,80.3,120.3,104.9,27.7,61.6,20.9,139.7
1959,1450.5,387.2,541.3,77.2,129.3,94.8,30.0,38.1,21.6,130.9
1958,1314.9,449.9,415.9,69.1,121.0,71.6,27.0,24.2,17.9,118.4
1957,1073.5,433.8,271.6,46.0,116.2,49.4,23.3,16.1,18.6,98.4
1956,1032.6,447.8,225.2,56.0,115.3,46.4,21.9,14.1,17.2,88.6
1955,913.1,424.7,191.2,31.0,104.9,39.3,20.1,13.8,17.9,70.0
1954,861.2,395.5,184.5,27.0,106.6,38.3,18.6,11.8,13.5,65.5
1953,825.9,381.4,163.2,29.0,102.4,35.3,18.0,11.9,13.2,71.5
1952,680.2,345.9,119.5,22.0,70.1,29.3,14.7,11.7,14.0,52.9
"Note:The industrial classification is based on the ""National Industrial Classification of Economic Activities ""(GB/T 4754 - 2017)."
Data Sources£ºNational Bureau of Statistics
