,"Gross Domestic Product by Kind of Activity and Price Deflator-Annual",
,,""
"Period","Kind of Activity","Gross Domestic Product_Current Price(Million N.T.$)"
"1982","¡@IB. Food and Beverage Service Activities",12774
"1982","¡@JA. Publishing, Motion Picture, Video and Music Production and Broadcasting Activities",7144
"1982","¡@JB. Telecommunications",31041
"1982","¡@JC. Related Service of Computer and Information",1152
"1982","K. Financial and Insurance Activities",67330
"1982","¡@KA. Financial Service Activities",54318
"1982","¡@KB. Insurance",12579
"1982","¡@KC. Security, Commodity Contracts and Activities Auxiliary to Financial Service Activities",433
"1982","¡@LA. Real Estate Activities",8880
"1982","¡@LB. Ownership of Dwellings",89448
"1982","¡@NA. Rental and Leasing Activities",8414
"1982","¡@NB. Other Support Service Activities",3311
"1982","¡@QA. Human Health Activities",16393
"1982","¡@QB. Social Work Activities",744
"1982","¡@SA. Activities of Membership Organizations",4549
"1982","¡@SB. Activities of Households as Employers of Domestic Personnel",9793
"1982","¡@SC. Other Personal Service Activities",29224
"1982","Total ( by production approach )",1945351
"1982","Statistical Discrepancy",-7328
"1982","GDP",1938023
"1983","¡@AA. Agriculture, Horticulture and Agrarian Activities",98506
"1983","¡@AB.  Animal Husbandry",19928
"1983","¡@AC. Forestry",8646
"1983","¡@AD. Fishing and Aquaculture",29752
"1983","¡@CA.  Manufacture of Food Products and Prepared Animal Feeds",53658
"1983","¡@CB. Manufacture of Beverages and Tobacco Products",45968
"1983","¡@CC. Manufacture of Textiles",64323
"1983","¡@CD. Manufacture of Wearing Apparel and Clothing Accessories",47564
"1983","¡@CE. Manufacture of Leather, Fur and Related Products",29709
"1983","¡@CF. Manufacture of Wood and of Products of Wood and Bamboo Products",12436
"1983","¡@CG. Manufacture of Paper and Paper Products",19058
"1983","¡@CH. Printing and Reproduction of Recorded Media",8558
"1983","¡@CI. Manufacture of Petroleum and Coal Products",32254
"1983","¡@CJ. Manufacture of Chemical Materials",45319
"1983","¡@CK. Manufacture of Other Chemical Products",7459
"1983","¡@CL. Manufacture of Pharmaceuticals and Medicinal Chemical Products",3120
"1983","¡@CM. Manufacture of Rubber Products",8206
"1983","¡@CN. Manufacture of Plastics Products",26547
"1983","¡@CO. Manufacture of Other Non-metallic Mineral Products",35494
"1983","¡@CP. Manufacture of Basic Metals",36682
"1983","¡@CQ. Manufacture of Fabricated Metal Products",35101
"1983","¡@CR. Manufacture of Electronic Parts and Components",31206
"1983","¡@CS. Manufacture of Computers, Electronic and Optical Products",32001
"1983","¡@CT. Manufacture of Electrical Equipment",29810
"1983","¡@CU. Manufacture of Machinery and Equipment",20701
"1983","¡@CV. Manufacture of Motor Vehicles and Parts",23318
"1983","¡@CW. Manufacture of Other Transport Equipment and Parts",25278
"1983","¡@CX. Manufacture of Furniture",8902
"1983","¡@CY. Other Manufacturing",50669
"1983","¡@DA. Electricity Supply",72822
"1983","¡@DB. Gas Supply",20712
"1983","¡@EA. Water Supply",5922
"1983","¡@EB. Remediation Activities",10760
"1983","¡@GA. Wholesale Trade",127411
"1983","¡@GB. Retail Trade",136684
"1983","¡@HA. Land Transportation",53091
"1983","¡@HB. Water Transportation",7942
"1983","¡@HC. Air Transport",5977
"1983","¡@HD. Support Activities for Transportation; Warehousing and Storage",20225
"1983","¡@HE. Postal and Courier Activities",4292
"1983","¡@IA. Accommodation",6512
"1983","¡@IB. Food and Beverage Service Activities",16574
"1983","¡@JA. Publishing, Motion Picture, Video and Music Production and Broadcasting Activities",7762
"1983","¡@JB. Telecommunications",35098
"1983","¡@JC. Related Service of Computer and Information",1620
"1983","K. Financial and Insurance Activities",66703
"1983","¡@KA. Financial Service Activities",50736
"1983","¡@KB. Insurance",14732
"1983","¡@KC. Security, Commodity Contracts and Activities Auxiliary to Financial Service Activities",1235
"1983","¡@LA. Real Estate Activities",11246
"1983","¡@LB. Ownership of Dwellings",102836
"1983","¡@NA. Rental and Leasing Activities",8549
"1983","¡@NB. Other Support Service Activities",3876
"1983","¡@QA. Human Health Activities",19108
"1983","¡@QB. Social Work Activities",885
"1983","¡@SA. Activities of Membership Organizations",4897
"1983","¡@SB. Activities of Households as Employers of Domestic Personnel",11287
"1983","¡@SC. Other Personal Service Activities",32258
"1983","Total ( by production approach )",2162286
"1983","Statistical Discrepancy",7160
"1983","GDP",2169446
"1984","¡@AA. Agriculture, Horticulture and Agrarian Activities",98148
"1984","¡@AB.  Animal Husbandry",14326
"1984","¡@AC. Forestry",6620
"1984","¡@AD. Fishing and Aquaculture",31729
"1984","¡@CA.  Manufacture of Food Products and Prepared Animal Feeds",58207
"1984","¡@CB. Manufacture of Beverages and Tobacco Products",49261
"1984","¡@CC. Manufacture of Textiles",77281
"1984","¡@CD. Manufacture of Wearing Apparel and Clothing Accessories",54715
"1984","¡@CE. Manufacture of Leather, Fur and Related Products",36855
"1984","¡@CF. Manufacture of Wood and of Products of Wood and Bamboo Products",13936
"1984","¡@CG. Manufacture of Paper and Paper Products",23451
"1984","¡@CH. Printing and Reproduction of Recorded Media",10224
"1984","¡@CI. Manufacture of Petroleum and Coal Products",35320
"1984","¡@CJ. Manufacture of Chemical Materials",59116
"1984","¡@CK. Manufacture of Other Chemical Products",8857
"1984","¡@CL. Manufacture of Pharmaceuticals and Medicinal Chemical Products",3685
"1984","¡@CM. Manufacture of Rubber Products",8449
"1984","¡@CN. Manufacture of Plastics Products",32565
"1984","¡@CO. Manufacture of Other Non-metallic Mineral Products",36018
"1984","¡@CP. Manufacture of Basic Metals",43840
"1984","¡@CQ. Manufacture of Fabricated Metal Products",43415
"1984","¡@CR. Manufacture of Electronic Parts and Components",40966
"1984","¡@CS. Manufacture of Computers, Electronic and Optical Products",41499
"1984","¡@CT. Manufacture of Electrical Equipment",38076
"1984","¡@CU. Manufacture of Machinery and Equipment",21866
"1984","¡@CV. Manufacture of Motor Vehicles and Parts",24787
"1984","¡@CW. Manufacture of Other Transport Equipment and Parts",26837
"1984","¡@CX. Manufacture of Furniture",10042
"1984","¡@CY. Other Manufacturing",58076
"1984","¡@DA. Electricity Supply",83681
"1984","¡@DB. Gas Supply",19582
"1984","¡@EA. Water Supply",6390
"1984","¡@EB. Remediation Activities",11484
"1984","¡@GA. Wholesale Trade",139732
"1984","¡@GB. Retail Trade",154686
"1984","¡@HA. Land Transportation",61068
"1984","¡@HB. Water Transportation",11700
"1984","¡@HC. Air Transport",8362
"1984","¡@HD. Support Activities for Transportation; Warehousing and Storage",22586
"1984","¡@HE. Postal and Courier Activities",4259
"1984","¡@IA. Accommodation",7568
"1984","¡@IB. Food and Beverage Service Activities",20715
"1984","¡@JA. Publishing, Motion Picture, Video and Music Production and Broadcasting Activities",8945
"1984","¡@JB. Telecommunications",38707
"1984","¡@JC. Related Service of Computer and Information",2134
"1984","K. Financial and Insurance Activities",77436
"1984","¡@KA. Financial Service Activities",58095
"1984","¡@KB. Insurance",17277
"1984","¡@KC. Security, Commodity Contracts and Activities Auxiliary to Financial Service Activities",2064
"1984","¡@LA. Real Estate Activities",11435
"1984","¡@LB. Ownership of Dwellings",110242
"1984","¡@NA. Rental and Leasing Activities",9197
