DATAFLOW,INDICATOR: Indicator,REF_AREA: Reference area,LOCATION: Degree of Urbanisation,DEPOSIT: Deposit,ECONOMIC_SECTOR: Economic Sector,PAYMENT_RATIO_TYPE: Payment Ratio Type,EXPENDITURE: Expenditure,UNIT_MEASURE: Unit of measure,FREQ: Frequency,TIME_PERIOD: Time period,OBS_VALUE,UNIT_MULTIPLIER: Unit multiplier,RESPONSIBLE_AGENCY: Responsible agency,DATA_SOURCE: Data source
KH_NIS:DF_NA(1.1),GDP_AT_CURRENT_PRICES_BY_SECTOR: GDP at Current Prices by Sector,ASIKHM: Cambodia,_Z: NA,_Z: NA,INDUSTRY: Industry,_Z: NA,_Z: NA,KHR: Cambodian Riels,A: Annual,2011,11529,9: Billions,MOP_NIS: Ministry of Planning,"ds_econ_72: MoP, NIS_National Accounts, Bulletin"
KH_NIS:DF_NA(1.1),GDP_AT_CURRENT_PRICES_BY_SECTOR: GDP at Current Prices by Sector,ASIKHM: Cambodia,_Z: NA,_Z: NA,INDUSTRY: Industry,_Z: NA,_Z: NA,KHR: Cambodian Riels,A: Annual,2012,13023,9: Billions,MOP_NIS: Ministry of Planning,"ds_econ_72: MoP, NIS_National Accounts, Bulletin"
KH_NIS:DF_NA(1.1),GDP_AT_CURRENT_PRICES_BY_SECTOR: GDP at Current Prices by Sector,ASIKHM: Cambodia,_Z: NA,_Z: NA,INDUSTRY: Industry,_Z: NA,_Z: NA,KHR: Cambodian Riels,A: Annual,2013,14760,9: Billions,MOP_NIS: Ministry of Planning,"ds_econ_72: MoP, NIS_National Accounts, Bulletin"
KH_NIS:DF_NA(1.1),GDP_AT_CURRENT_PRICES_BY_SECTOR: GDP at Current Prices by Sector,ASIKHM: Cambodia,_Z: NA,_Z: NA,INDUSTRY: Industry,_Z: NA,_Z: NA,KHR: Cambodian Riels,A: Annual,2014,17268,9: Billions,MOP_NIS: Ministry of Planning,"ds_econ_72: MoP, NIS_National Accounts, Bulletin"
KH_NIS:DF_NA(1.1),GDP_AT_CURRENT_PRICES_BY_SECTOR: GDP at Current Prices by Sector,ASIKHM: Cambodia,_Z: NA,_Z: NA,INDUSTRY: Industry,_Z: NA,_Z: NA,KHR: Cambodian Riels,A: Annual,2015,20323,9: Billions,MOP_NIS: Ministry of Planning,"ds_econ_72: MoP, NIS_National Accounts, Bulletin"
KH_NIS:DF_NA(1.1),GDP_AT_CURRENT_PRICES_BY_SECTOR: GDP at Current Prices by Sector,ASIKHM: Cambodia,_Z: NA,_Z: NA,INDUSTRY: Industry,_Z: NA,_Z: NA,KHR: Cambodian Riels,A: Annual,2016,23927,9: Billions,MOP_NIS: Ministry of Planning,"ds_econ_72: MoP, NIS_National Accounts, Bulletin"
KH_NIS:DF_NA(1.1),GDP_AT_CURRENT_PRICES_BY_SECTOR: GDP at Current Prices by Sector,ASIKHM: Cambodia,_Z: NA,_Z: NA,INDUSTRY: Industry,_Z: NA,_Z: NA,KHR: Cambodian Riels,A: Annual,2017,27712,9: Billions,MOP_NIS: Ministry of Planning,"ds_econ_72: MoP, NIS_National Accounts, Bulletin"
KH_NIS:DF_NA(1.1),GDP_AT_CURRENT_PRICES_BY_SECTOR: GDP at Current Prices by Sector,ASIKHM: Cambodia,_Z: NA,_Z: NA,INDUSTRY: Industry,_Z: NA,_Z: NA,KHR: Cambodian Riels,A: Annual,2018,32142,9: Billions,MOP_NIS: Ministry of Planning,"ds_econ_72: MoP, NIS_National Accounts, Bulletin"
KH_NIS:DF_NA(1.1),GDP_AT_CURRENT_PRICES_BY_SECTOR: GDP at Current Prices by Sector,ASIKHM: Cambodia,_Z: NA,_Z: NA,SERVICES: Services,_Z: NA,_Z: NA,KHR: Cambodian Riels,A: Annual,1996,3311,9: Billions,MOP_NIS: Ministry of Planning,"ds_econ_72: MoP, NIS_National Accounts, Bulletin"
KH_NIS:DF_NA(1.1),GDP_AT_CURRENT_PRICES_BY_SECTOR: GDP at Current Prices by Sector,ASIKHM: Cambodia,_Z: NA,_Z: NA,SERVICES: Services,_Z: NA,_Z: NA,KHR: Cambodian Riels,A: Annual,1997,3560,9: Billions,MOP_NIS: Ministry of Planning,"ds_econ_72: MoP, NIS_National Accounts, Bulletin"
