DATAFLOW,INDICATOR: Indicator,REF_AREA: Reference area,LOCATION: Degree of Urbanisation,DEPOSIT: Deposit,ECONOMIC_SECTOR: Economic Sector,PAYMENT_RATIO_TYPE: Payment Ratio Type,EXPENDITURE: Expenditure,UNIT_MEASURE: Unit of measure,FREQ: Frequency,TIME_PERIOD: Time period,OBS_VALUE,UNIT_MULTIPLIER: Unit multiplier,RESPONSIBLE_AGENCY: Responsible agency,DATA_SOURCE: Data source
KH_NIS:DF_NA(1.1),ANNUAL_GDP_GROWTH_RATE_AT_CONSTANT_PRICES: Annual GDP Growth Rate at Constant Prices,ASIKHM: Cambodia,_Z: NA,_Z: NA,_Z: NA,_Z: NA,_Z: NA,PERCENT: Percent,A: Annual,2004,10.3,0: Units,MOP_NIS: Ministry of Planning,"ds_econ_74: MoP, NIS_National Accounts, Bulletin_2012"
KH_NIS:DF_NA(1.1),ANNUAL_GDP_GROWTH_RATE_AT_CONSTANT_PRICES: Annual GDP Growth Rate at Constant Prices,ASIKHM: Cambodia,_Z: NA,_Z: NA,_Z: NA,_Z: NA,_Z: NA,PERCENT: Percent,A: Annual,2005,13.3,0: Units,MOP_NIS: Ministry of Planning,"ds_econ_74: MoP, NIS_National Accounts, Bulletin_2012"
KH_NIS:DF_NA(1.1),ANNUAL_GDP_GROWTH_RATE_AT_CONSTANT_PRICES: Annual GDP Growth Rate at Constant Prices,ASIKHM: Cambodia,_Z: NA,_Z: NA,_Z: NA,_Z: NA,_Z: NA,PERCENT: Percent,A: Annual,2006,10.8,0: Units,MOP_NIS: Ministry of Planning,"ds_econ_74: MoP, NIS_National Accounts, Bulletin_2012"
KH_NIS:DF_NA(1.1),ANNUAL_GDP_GROWTH_RATE_AT_CONSTANT_PRICES: Annual GDP Growth Rate at Constant Prices,ASIKHM: Cambodia,_Z: NA,_Z: NA,_Z: NA,_Z: NA,_Z: NA,PERCENT: Percent,A: Annual,2007,10.2,0: Units,MOP_NIS: Ministry of Planning,"ds_econ_74: MoP, NIS_National Accounts, Bulletin_2012"
KH_NIS:DF_NA(1.1),ANNUAL_GDP_GROWTH_RATE_AT_CONSTANT_PRICES: Annual GDP Growth Rate at Constant Prices,ASIKHM: Cambodia,_Z: NA,_Z: NA,_Z: NA,_Z: NA,_Z: NA,PERCENT: Percent,A: Annual,2008,6.7,0: Units,MOP_NIS: Ministry of Planning,"ds_econ_74: MoP, NIS_National Accounts, Bulletin_2012"
KH_NIS:DF_NA(1.1),ANNUAL_GDP_GROWTH_RATE_AT_CONSTANT_PRICES: Annual GDP Growth Rate at Constant Prices,ASIKHM: Cambodia,_Z: NA,_Z: NA,_Z: NA,_Z: NA,_Z: NA,PERCENT: Percent,A: Annual,2009,0.1,0: Units,MOP_NIS: Ministry of Planning,"ds_econ_74: MoP, NIS_National Accounts, Bulletin_2012"
KH_NIS:DF_NA(1.1),ANNUAL_GDP_GROWTH_RATE_AT_CONSTANT_PRICES: Annual GDP Growth Rate at Constant Prices,ASIKHM: Cambodia,_Z: NA,_Z: NA,_Z: NA,_Z: NA,_Z: NA,PERCENT: Percent,A: Annual,2010,6,0: Units,MOP_NIS: Ministry of Planning,"ds_econ_74: MoP, NIS_National Accounts, Bulletin_2012"
KH_NIS:DF_NA(1.1),ANNUAL_GDP_GROWTH_RATE_AT_CONSTANT_PRICES: Annual GDP Growth Rate at Constant Prices,ASIKHM: Cambodia,_Z: NA,_Z: NA,_Z: NA,_Z: NA,_Z: NA,PERCENT: Percent,A: Annual,2011,7.1,0: Units,MOP_NIS: Ministry of Planning,"ds_econ_75: MoP, NIS_National Accounts, Bulletin_2013"
KH_NIS:DF_NA(1.1),ANNUAL_GDP_GROWTH_RATE_AT_CONSTANT_PRICES: Annual GDP Growth Rate at Constant Prices,ASIKHM: Cambodia,_Z: NA,_Z: NA,_Z: NA,_Z: NA,_Z: NA,PERCENT: Percent,A: Annual,2012,7.3,0: Units,MOP_NIS: Ministry of Planning,"ds_econ_75: MoP, NIS_National Accounts, Bulletin_2013"
KH_NIS:DF_NA(1.1),ANNUAL_GDP_GROWTH_RATE_AT_CONSTANT_PRICES: Annual GDP Growth Rate at Constant Prices,ASIKHM: Cambodia,_Z: NA,_Z: NA,_Z: NA,_Z: NA,_Z: NA,PERCENT: Percent,A: Annual,2013,7.4,0: Units,MOP_NIS: Ministry of Planning,"ds_econ_76: MoP, NIS_National Accounts, Bulletin_2014"
